서명,저자,출판사,출판년
"(The little mouse, the red ripe strawberry, and)The big hungry bear","Wood, Don",문진미디어,2009
Today is monday,"Carle, Eric",문진미디어,1997
We're going on a bear hunt,"Rosen, Michael",문진미디어,2006
When I was five,"Howard, Arthur",문진미디어,2006
Who is the beast,"Baker, Keith",문진미디어,2006
Draw me a star,"Carle, Eric",문진미디어,2006
From head to toe,"Carle, Eric",문진미디어,2006
Kira the Koala,Frances McKay글 ; Dawn Apperley 그림,Piccadilly press,2000
One clever creature,Joseph Ellis 글 ; Christyan Fox 그림,Piccadilly press,2005
Wibie footie mad!,Sally Chambers 글.그림,Piccadilly press,2006
Baby panda,Susan Hellard 글.그림,Piccadilly press,2002
Big Yang and little Yin,Angela McAllister 글 ; Eleanor Taylor 그림,Gullene Children's Books,2005
Boswell the kitchen cat,Marjorie Newman 글 ; Suzanne Watts 그림,Little Tiger Press,2002
Enrico starts school,Charlotte Middleton 글.그림,Gullene Children's Books,2008
From me to you,Anthony France 글 ; Tiphanie Beeke 그림,Gullene Children's Books,2003
Hung and the bully frogs,Francesca Simon 글 ; Caroline Jayne Church 그림,Gullene Children's Books,2005
"I'll be your friend, Smudge!",Miriam Moss 글 ; Lynne Chapman 그림,Gullene Children's Books,2001
"I'll be your friend, Smudge!",Miriam Moss 글 ; Lynne Chapman 그림,Gullene Children's Books,2001
Imagine me a pirate!,Mark Marshall 글.그림,Gullane children's books,2006
"It's my turn, Smudge!",Miriam Moss 글 ; Lynne Chapman 그림,Gullene Children's Books,2001
"It's my turn, Smudge!",Miriam Moss 글 ; Lynne Chapman 그림,Gullene Children's Books,2001
Miss chicken and the hungry neighbour,Jude Wisdom 글.그림,Gullene Children's Books,1998
Mummy carry me please,Jane Cabrera 글.그림,Gullene Children's Books,1998
(The)naughtiest Piglet,Julia Hubery 글 ; John Bendall-Brunello 그림,Gullene Children's Books,2003
(A)new house for Smudge,Miriam Moss 글 ; Lynne Chapman 그림,Gullene Children's Books,2001
Not Me!,Nigel McMullen 글.그림,Gullene Children's Books,1998
One dark night,Lisa Wheeler 글 ; Ivan Bates 그림,Gullene Children's Books,2003
Ordinary audrey,Peter Harris 글 ; David Runert 그림,Gullene Children's Books,2001
Over in the Meadow,Jane Cabrera 글.그림,Gullene Children's Books,2004
Secret in the mist,Margaret Nash 글 ; Stephen Lambert 그림,Gullene Children's Books,1998
Smudge's grumpy day,Miriam Moss 글 ; Lynne Chapman 그림,Gullene Children's Books,2001
"Tick-tock, drip-drop!",Nicola Moon 글 ; Eleanor Taylor 그림,Gullene Children's Books,2003
Bedtime rhymes,John Foster 글 ; Carol Thompson 그림,Gullene Children's Books,1998
Bedtime rhymes,John Foster 글 ; Carol Thompson 그림,Gullene Children's Books,1998
Come to the carnival,John Foster 글.그림,Oxford University Press,2001
Come to the carnival,John Foster 글.그림,Oxford University Press,2001
My first Oxford book of Christmas poems,John Foster 글.그림,Oxford University Press,2003
(Nonsense)Christmas rhymes,Richard Edwards 글 ; Chris Fisher 그림,Oxford University Press,2002
Orange and lemons,Karen King 글 ; Ian Beck 그림,Oxford University Press,2006
Orange and lemons,Karen King 글 ; Ian Beck 그림,Oxford University Press,2006
Ride a cock horse,Sarah Williams 글 ; Ian Beck 그림,Oxford University Press,2006
Ride a cock horse,Sarah Williams 글 ; Ian Beck 그림,Oxford University Press,2006
(A)tiny Teddy,John Foster 글.그림,Oxford University Press,1986
(A)tiny Teddy,John Foster 글.그림,Oxford University Press,2001
(The)Gatorboat goof-up,Sarah M. Hupp ; John Fornof [공]글 ; Bernard Adnet 그림,Zonderkids,2003
Tad's messy day,Sarah M. Hupp ; John Fornof [공]글 ; Bernard Adnet 그림,Zonderkids,2004
Tad's messy day,Sarah M. Hupp ; John Fornof [공]글 ; Bernard Adnet 그림,Zonderkids,2004
물고기,라헬 웰스 그림 ; 피오나 와트 글 ; [시공사 편역],시공사,2008
고양이,라헬 웰스 그림 ; 피오나 와트 글 ; [시공사 편역],시공사,2008
새끼 악어가 엄마를 찾아요,에미리 하야시 지음 ; 박정연 옮김,보림,2007
아기 오리가 엄마를 찾아요,에미리 하야시 지음 ; 박정연 옮김,보림,2007
걸,오쿠다 히데오 지음 ; 임희선 옮김,북스토리,2008
판타스틱 행복백서,실비안 자우이 지음 ; 젤다 종크 그림 ; 권지현 옮김,웅진주니어,2008
아기 돌고래가 엄마를 찾아요,에미리 하야시 지음 ; 박정연 옮김,보림,2007
(주니어)생각의 탄생,로버트 루트번스타인 ; 미셸 루트번스타인 원작 ; 김재헌 글 ; 서영경 그림,에코의서재,2008
그런데 철학이 뭐예요,한기호 글 ; 윤정주 그림,천둥거인,2008
존 아저씨의 꿈의 목록,존 고다드 지음 ; 임경헌 옮김 ; 이종옥 그림,글담어린이,2008
(어린이를 위한)선택,스펜서 존슨 원작 ; 이지현 엮음 ; 전병준 그림,청림아이,2008
소녀대화백과,김은제 지음 ; 송윤신 그림,글송이,2008
인어는 기름 바다에서도 숨을 쉴 수 있나요,유다정 글 ; 박재현 그림,미래아이,2008
무서운 지구,니콜라 바버 ; 닐 모리스 ; 필립 스틸 [공]지음 ; 김인숙 옮김,산하,2008
살아 있는 지구,바바라 테일러 ; 폴 베넷 [공]지음 ; 김인숙 옮김,산하,2008
(우리와 함께 살아가는)곤충이야기,한영식 글 ; 송병석 그림,아이세움,2008
(Why)파충·양서류,파피루스 글 ; 이두원 만화,예림당,2008
(소녀를 위한 패션 코디법!)스타일 백과,김다정 글 ; 김미경 그림,글송이,2008
동화보다 재미있는 종이접기,김연수 지음,교학사,2008
(유소영의)영어 일기 다음 영작책,유소영 지음,에듀박스,2008
(First step in)Reading,[edubox 편집부 편],edubox,2008
(First step in)Reading,[edubox 편집부 편],edubox,2008
한글이야기,정은균 지음 ; 유남영 그림,청년사,2008
3학년이라면 당연히 알아야 할 영단어,4dimension 지음 ; 민경미 그림,동아일보사,2008
(생각이 꽉 찬)완전 소중 글쓰기,조수진 ; 김옥승 [공]글 ; 이리 ; 강희준 [공]글,가나출판사,2008
마우스와 떠난 여행 . 11,"매튜스, L. S",가문비,2008
숲에 가면,김종상 지음 ; 권나라 그림,섬아이,2008
미안해...괜찮아...,조이스 시드먼 글 ; 패밀라 자가렌스키 그림 ; 박수현 옮김,JDM중앙출판사,2008
고래와 래고,이옥용 지음 ; 최정인 그림,푸른책들,2008
"비밀의 터널. 1 : 도망쳐요, 레오나르도 다 빈치！",올라프 프리체 글 ; 바바라 코르투에스 그림 ; 송소민 옮김,주니어김영사,2008
(개똥도 아끼다)자린고비 일기,정해왕 글 ; 오승민 그림,시공주니어,2008
꼬마 할머니의 비밀,다카도노 호코 글 ; 지바 지카코 그림 ; 양미화 옮김,논장,2008
"일주일은 엄마네, 일주일은 아빠네",재클린 윌슨 글 ; 닉 샤랫 그림 ; 이주희 옮김,시공주니어,2008
퍼지는 돈이 좋아！,주디 블룸 글 ; 권송이 그림 ; 이주희 옮김,시공주니어,2008
할머니의 꽃무늬 바지,바버라 슈너부시 글 ; 캐리 필로 그림 ; 김수희 옮김,작가정신,2008
모팻 가의 가운데 아이,엘레노어 에스테스 글 ; 루이스 슬로보드킨 그림 ; 고정아 옮김,열린어린이,2008
요술 손가락,로알드 달 글 ; 퀜틴 블레이크 그림 ; 김난령 옮김,열린어린이,2008
기린과 열여덟 번째 낙타,요시다 미치코 글 ; 오타카 이쿠코 그림 ; 김난주 옮김,주니어김영사,2008
연보랏빛 양산이 날아오를 때,알키 지 지음 ; 정혜용 옮김 ; 정지혜 그림,창비,2008
쟈쟈 표도르의 겨울 이야기,예두아르트 우스펜스키 지음 ; 김서윤 옮김 ; 원유미 그림,푸른길,2008
담배 피우는 엄마,류호선 글 ; 박정섭 그림,시공주니어,2008
꼬물꼬물 일과 놀이 사전,윤구병 글 ; 이형진...[등]그림,보리,2008
왕오천축국전,혜초 ; 최부 [공]글 ; 박정호 그림,삼성비앤씨,2007
임진록,[작자미상] ; 김종현 그림,삼성비앤씨,2007
지도로 보는 세계,일레인 잭슨 글 ; 이충호 옮김,대교출판,2008
놀라운 이집트 비밀스러운 피라미드,로베르토 자코보 지음 ; 음경훈 옮김 ; 이해정 그림,웅진주니어,2008
(아빠랑 함께 보는)우리 옛 건물,이용재 글.사진 ; 김이랑 그림,토토북,2008
이탈리아 이야기,권삼윤 글,아이세움,2008
갈매기의 친구 오바디아,브린컨 터클 글.그림 ; 정경임 옮김,지양사,2004
(그림과 함께 보는)라 퐁텐 우화,장 드 라 퐁텐 글 ; 프랑수와 크로자 그림 ; 김찬자 옮김,달리,2008
꼬마늑대,케테 레하이스 글 ; 피터 쿤스트라이히 그림 ; 이동용 옮김,청솔,2002
꼬마 발레리나 타냐,고흐 리 페트리샤 글 ; 이치카와 사토미 그림 ; 장지연 옮김,현암사,2007
이불아 놀자,천경원 지음,한솔수북,2006
지프야 놀자,천경원 지음,한솔수북,2009
나에게 찾아온 행운,엘리자베스 허니 글.그림 ; 김은정 옮김,제삼기획,2003
나의 조랑말,수잔 제퍼스 글.그림 ; 김세희 옮김,봄봄,2007
내 거야,마틸드 스테인 글 ; 미스 판 하우트 그림 ; 강현주 옮김,창해,2008
내가 좋아하는 것,"앤서니 브라운 글, 그림 ; 허은미 옮김",책그릇;,2006
어떻게 건너지,보리 글 ; 김혜숙 그림,보리,2008
이런 공장은 싫어,보리 글 ; 하윤신 그림,보리,2008
달팽이는 왜 집을 지고 다닐까요,브리기테 라브 글 ; 마누엘라 올텐 그림 ; 송경희 옮김,계수나무,2008
동생이 없어졌으면 좋겠어,안 훠쉬린드 지음 ; 장연 옮김,고려원북스,2006
류와 새,카트린 루이 글.그림 ; 펑 샤오 밍 서예 ; 김주경 옮김,주니어랜덤,2008
마술 지팡이,리안 퓌써르 글 ; 끌라스 페르쁘랑거 그림 ; [미세기 편집부 편역],미세기,2002
(재미있는 시계놀이)몇시에요,HR기획 ; 김진겸 그림,효리원,2007
로지의 이혼 방해 작전,다니엘 로리 글 ; 보니 매튜스 그림 ; 유미숙 옮김,미래M ＆ B,2007
밤하늘 별 이야기,세키구치 슈운 글.그림 ; 김창원 ; 정혜선 [공]옮김,진선아이,2002
빔블리,미라 로베 지음 ; 수지 바이겔 그림 ; 김경연 옮김,풀빛,2001
아프리카에 눈이 내리면,스태판 로이피 ; 라헬 비니거 [공]글 ; 김성경 옮김,예림당,2008
애벌레의 모험,이름가르트 루흐트 글.그림 ; 김경연 옮김,풀빛,2007
얼룩이 싫은 얼룩소,파블로 베로나스코니 글.그림 ; 고정아 옮김,미세기,2005
엄마가 사라졌어요,이정희 글.그림,문학동네어린이,2007
(우리 아이를 안전하게 지켜 주는)어린이 교통 안전,우현옥 글 ; 서혜진 그림,문공사,2008
작은 오리 쉬제트의 가장 좋은 친구,크리스텔 데무아노 글.그림 ; 양진희 옮김,교학사,2004
진짜 사나이,마누엘라 올텐 글. 그림 ; 조국현 옮김,토마토하우스,2005
취학 전 우리아이 반드시 알아야 할 영어,종이장난감 기획.구성 ; 김공 그림,신서&생명의 숲,2006
피자대장 호랑이,데이비드 베드퍼드 글 ; 얀 루이스 그림 ; 송정애 옮김,보림,2008
훔머 씨의 비밀 코트,자네트 예닝 글.그림 ; 이동준 옮김,예림당,2007
(소녀를 위한)학교생활백서,김은제 지음 ; 박경은 그림,글송이,2008
오즈의 마법사,L.프랭크 바움 글 ; W.W. 덴슬로우 그림 ; 김석희 옮김,시공주니어,2007
광대와 화가,최가민 글 ; 박지매 그림,인연,2008
발랄라이카를 연주하고 싶은 생쥐,존 버닝햄 글. 그림 ; 장미란 옮김,논장,2005
폭풍을 불러온 나비,로저 본 카 글 ; 앤 제임스 그림 ; 윤구병 ; 윤나래 [공]옮김,다섯수레,2003
내 당나귀 벤야민,한스 림머 글 ; 레나르트 오스베크 사진 ; 김경연 옮김,달리,2003
헨리는 피츠버그까지 걸어서 가요,D. B. 존슨 글·그림 ; 김서정 옮김,달리,2003
모르는 강아지가 따라와요,고바야시 요시 글.그림 ; 방연실 옮김,마루벌,2007
살아 있는 모든 것은,브라이언 멜로니 글 ; 로버트 잉펜 그림 ; 이명희 옮김,마루벌,2007
살아 있는 모든 것은,브라이언 멜로니 글 ; 로버트 잉펜 그림 ; 이명희 옮김,마루벌,2007
우리에게 사랑을 주세요,데스몬드 투투 대주교 머리글 ; 캐롤린 캐슬 고쳐씀 ; 존 버닝햄...[등]그림 ; 이명희 옮김,마루벌,2004
한 해 열두달,레오 리오니 글.그림 ; 이명희 옮김,마루벌,2005
단골손님,선자은 글 ; 이광익 그림,사파리,2008
심봤다,김명희 글 ; 한태희 그림,언어세상,2007
잘하면 살판,선자은 글 ; 이수진 그림,언어세상,2008
"괜찮아, 넌 할 수 있어!",클레르 프리드먼 글 ; 가비 한센 그림 ; 양은진 옮김,세상모든책,2004
나는 뭐든지 할 수 있어!,하인츠 야니쉬 글 ; 젤다 마를린 조간치 그림 ; 조국현 옮김,소년한길,2007
나는 뭐든지 할 수 있어!,하인츠 야니쉬 글 ; 젤다 마를린 조간치 그림 ; 조국현 옮김,소년한길,2007
섬 하나가 쑤욱,로라 셰이퍼 글 ; 캐시 펠스테드 그림 ; 김서정 옮김,아이즐,2007
거짓말쟁이 카멜라,호세 발레스테로스 글 ; 로저 올모스 그림 ; 이승재 옮김,작은책방,2004
마법에 걸린 병,고경숙 글.그림,재미마주,2007
상상해봐,앨러슨 레스터 글.그림 ; 김연수 옮김,중앙출판사,2008
새색시,박현정 글.그림,초방책방,2007
심청가,이현순 글 ; 최은미 그림,초방책방,2007
열두띠,신명희 글 ; 한태희 그림,초방책방,2006
스노이 아저씨와 롤리 폴리 올리,윌리엄 조이스 글.그림 ; 김서정 옮김,킨더랜드,2007
나무꾼과 호랑이 형님,이나미 글·그림,한림출판사,2007
넬슨 만델라,넬슨 만델라 말 ; 윌리엄 윌슨 그림 ; 이경혜 옮김,계림북스쿨,2004
"곰이라고요, 곰!",프랭크 태슐린 글. 그림 ; 위정현 옮김,계수나무,2008
"할머니, 편지 왔어요",조 외슬랑 글 ; 클레르 프라네크 그림 ; 정미애 옮김,교학사,2007
맘대로 아빠 맘대로 아들,오은영 글 ; 소윤경 그림,국민서관,2006
우리들만의 전쟁,바네사 발더 글 ; 강석란 옮김,국민서관,2007
할아버지의 비밀,크리스티네 뇌스틀링거 글.그림 ; 한미희 옮김,국민서관,2007
제키의 지구 여행,문선이 지음 ; 이상규 그림,길벗어린이,2008
"가로세로 세계사. 1 : 발칸반도, 강인한 민족들의 땅",이원복 글.그림,김영사,2008
가로세로 세계사. 3 : 화려한 이슬람세계를 찾아서,이원복 글.그림,김영사,2007
그림도둑 준모,오승희 글 ; 최정인 그림,낮은산,2008
벽이,공진하 글 ; 오승민 그림,낮은산,2007
비나리 달이네 집,권정생 글 ; 김동성 그림,낮은산,2008
빡빡머리 엄마,박관희 글 ; 박해남 그림,낮은산,2008
어미개,박기범 글 ; 신민재 그림,낮은산,2008
그리운 양쯔강,진 프리츠 글 ; 서남희 옮김 ; 강전희 그림,내인생의책,2006
염소 즐라테,아이작 바셰비스 싱어 지음 ; 정미우 옮김,내인생의책,2008
잃어버린 자전거,마리온 데인 바우어 글 ; 이승숙 옮김,내인생의책,2006
"천둥아, 내 외침을 들어라!",밀드레드 테일러 지음 ; 이루리 옮김,내인생의책,2008
도둑 맞은 다이아몬드,데이비드 A. 아들러 지음,논장,2007
아무도 모르는 작은 나라,사토 사토루 지음 ; 햇살과 나무꾼 옮김,논장,2006
(웃음을 팔아 버린)꼬마 백만장자 팀탈러. 1,제임스 크뤼스 지음 ; 정미경 옮김,논장,2005
(웃음을 팔아 버린)꼬마 백만장자 팀탈러. 2,제임스 크뤼스 지음 ; 정미경 옮김,논장,2005
피라미호의 모험. 1,필리파 피어스 지음 ; 에드워드 아디존 그림 ; 햇살과나무꾼 옮김,논장,2004
